id,activityKey,enabled,scheduleStartDate,scheduleEndDate,startTime,duration,recurrenceValue,skin,segments,params,dependency,mutex
1777023929025,OpenBox,0,2026-03-17,,10:00,604800,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[,,{},,[]
1777023859136,DeepWindowBoard,0,2026-04-06,,10:00,604800,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[,,{},,[]
1777023837496,FarmWindowBoard,0,2026-04-20,2026-04-21,10:00,604800,"[1,0,0,0,0,0,0]",[,,{},,[]
1777023809127,MultiWindowBoard,0,2026-04-27,,10:00,604800,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[,,{},,[]
1777023755436,SoloWindowBoard,0,2026-04-13,,10:00,604800,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[,,{},,[]
1777023566279,RegularExtraToken,0,2026-05-05,,10:00,172800,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[,,{},,[]
1777023523395,Puzzle,0,2026-05-04,,10:00,86400,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[,,{},,[]
1777023122289,RandomSort,0,2026-04-21,,10:00,172800,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[,,{},,[]
1777022834347,WindowboardExtraCoin,0,2026-04-20,,10:00,86400,"[0,0,0,0,0,1,0,0,0,0,0,0,0,0]",[,,{},,[]
1777022761318,OptionalRace,0,2026-04-20,,10:00,86400,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[,,{},,[]
1777022533454,OrderEnergy,0,2026-03-02,,10:00,86400,"[0,0,0,1,0,0,0,0,0,0,0,0,0,0]",[,,{},,[]
1777022370847,BubbleDiscount,0,2026-03-16,,10:00,86400,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[,,{},,[]
1777022321440,ClothingRank,0,2026-02-16,,10:00,86400,"[1,0,0,0,0,0,0]",[,,{},,[]
1777022203555,CatBalloon,0,2026-01-26,,10:00,86400,"[0,0,1,0,0,0,0,0,0,0,0,0,0,0]",[,,{},,[]
1777022113860,StarChallenge,0,2026-01-25,,10:00,86400,"[1,0,0,0,0,0,0]",[,,{},,[]
1777022017976,SuperInfiniteStock,0,2026-02-16,,10:00,172800,"[0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[,,{},,[]
1777021908381,InfiniteStock,0,2026-02-23,,10:00,86400,"[0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0]",[,,{},,[]
1777021783989,CollectCardsDoubleGet,0,2026-02-16,,10:00,86400,"[0,0,0,0,1,0,0]",[,,{},CollectCards,[]
1777021687241,CollectCardsEnergy,0,2026-02-23,,00:00,86400,"[0,0,0,0,1,1,0,0,0,0,0,1,1,0]",[,,{},CollectCards,[SpecialDrop]
1777020459614,FestivalRank,0,2026-02-24,,10:00,259200,"[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]",[,,{},,[]
1777020351606,FestivalExtraToken,0,2026-02-23,,10:00,86400,"[0,1,0,0,0,0,0]","[1,2]",,{},,[]
1777020184496,FestivalGainTime,0,2026-02-24,,10:00,3600,"[0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1]",[,,{},,[]
1777020112045,NewFestival,0,2026-02-24,,10:00,2419200,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[,,{},,[]
1777019994844,RestaurantList,0,2026-03-25,,10:00,604800,"[1,0,0,0,0,0,0]",[,,{},,[]
1777019924045,Pass,0,2026-03-08,,00:00,2419200,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[,,{},,[]
1777019810897,DollMachine,0,2026-03-02,,10:00,3628800,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]",[,,{},,[]
1776426605706,CollectCardsDrift,0,2026-02-23,,10:00,86400,"[0,0,0,1,0,0,0]","[1,2]",,{},CollectCards,[]
1776308010000,CollectCards,0,2026-03-23,,10:00,3024000,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[222,2222]",,{222},,[]
